File name,Dates,Description physique,Dimensions,Données techniques,Informations sur les modalités d'entrée,Matière,Nom géographique,Édifice,latitude,longitude,code_insee_commune,trans_city,trans_confidence,trans_hamlet_uniformise,trans_monument_uniformise,trans_ocr_text,coordonnees_georeferencement,adresse_precise,source_georef
FRAD084_07FI002_0012.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône (2002), ,"Ansouis (Vaucluse, France)", ,43.7365172868,5.47136689464,84002.0,Ansouis,0.95,Aucun lieu-dit,Aucun monument,"Audibert Edit. - Photo L. Camous, Pertuis
ANSOUIS (Vaucluse) - Vue générale côté Sud
Gendi 13 9bre 1928.","43.7365172868, 5.47136689464",,commune (fallback)
FRAD084_07FI002_0014.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône (2002),église,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Église",43.7365172868,5.47136689464,84002.0,Ansouis,0.98,Aucun lieu-dit,Eglise de Ansouis,ANSOUIS (Vaucluse) - Intérieur de l'Église Deydier,"43.738531, 5.4635719","Église paroissiale Saint-Martin, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",monument_uniformise
FRAD084_07FI002_0009.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône (2002),église,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Église",43.7365172868,5.47136689464,84002.0,Ansouis,0.95,Aucun lieu-dit,L'Église et l'éperon du Château,"ANSOUIS (Vaucluse) L'Église et l'éperon du Château Audibert édit. - Photo L. Camous, Pertuis","43.738531, 5.4635719","Église paroissiale Saint-Martin, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",edifice
FRAD084_07FI002_0010.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du- Rhône (2002),église,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Église",43.7365172868,5.47136689464,84002.0,Ansouis,0.95,Aucun lieu-dit,L'Eglise et l'Eperon,ANSOUIS (Vaucluse) - L'Eglise et l'Eperon,"43.738531, 5.4635719","Église paroissiale Saint-Martin, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",edifice
FRAD084_07FI002_0007.jpg,[vers 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale avec bordure, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale avec bordure, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône en 2002,château,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Château",43.7365172868,5.47136689464,84002.0,Ansouis,0.95,Aucun lieu-dit,Le Château,"Edition Pin
ANSOUIS (Vaucluse) - Entrée du Château","43.7388208, 5.4638885","Château d'Ansouis, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",edifice
FRAD084_07FI002_0011.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône (2002),château,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Château",43.7365172868,5.47136689464,84002.0,Ansouis,0.98,Aucun lieu-dit,Château,ANSOUIS (Vaucluse) - Entrée du Château,"43.7388208, 5.4638885","Château d'Ansouis, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",monument_uniformise
FRAD084_07FI002_0008_01.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône (2002),château,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Château",43.7365172868,5.47136689464,84002.0,Ansouis,0.98,Aucun lieu-dit,Le Château,"Audibert édit. - Photo L. Camous, Pertuis
ANSOUIS (Vaucluse) - Le Château","43.7388208, 5.4638885","Château d'Ansouis, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",edifice
FRAD084_07FI002_0015_01.jpg,[avant 1920],"Dimensions 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat",Don des Archives départementales des Bouches-du-Rhône (2002),château,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Château",43.7365172868,5.47136689464,84002.0,Ansouis,0.95,Aucun lieu-dit,Aucun monument,ANSOUIS (Vaucluse) — Le Château - Salle à manger Riches Tapisseries et Mobilier ancien (Côté Est),"43.7388208, 5.4638885","Château d'Ansouis, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",edifice
FRAD084_07FI002_0005.jpg,[avant 1920],"Support 9 x 14 cm

Données techniques Carte postale pleine feuille, noir et blanc. Aspect mat",9 x 14 cm,"Carte postale pleine feuille, noir et blanc. Aspect mat", ,château,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Château",43.7365172868,5.47136689464,84002.0,Ansouis,0.98,Aucun lieu-dit,Porte fortifiée du Château,ANSOUIS (Vaucluse) Porte fortifiée du Château Cliché Doydier - Edit. Léon Brémont,"43.7388208, 5.4638885","Château d'Ansouis, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",edifice
FRAD084_07FI002_0001.jpg,[vers 1930],"Dimensions 9,5 x 15 cm

Données techniques Carte-image coloriée, avec bordure. Aspect mat","9,5 x 15 cm","Carte-image coloriée, avec bordure. Aspect mat", ,château,"Ansouis (Vaucluse, France)","Ansouis (Vaucluse, France) -- Château",43.7365172868,5.47136689464,84002.0,Ansouis,0.99,Aucun lieu-dit,Château d'Ansouis,"Connu dès l'an 980, Ansouis était primitivement une place forte destinée à la défense de la Haute Provence. Au XIIIe siècle il fut l'habitation de St ELZEAR de SABRAN et de son épouse Ste DELPHINE. Il eut à subir de nombreux assauts : Bandes d'Arnaud l'Archiprêtre en 1358, les Calvinistes de Ménerbes en 174, et enfin les bandes armées par le Baron de Vins en 1585. N° 151 — Château d'ANSOUIS (Vaucluse) — Vue générale","43.7388208, 5.4638885","Château d'Ansouis, Place de l'Église, Ansouis, Apt, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84240, France",monument_uniformise
